Date,Home_Team,Away_Team,Line,Over_Odds,Under_Odds,URL
2024-05-26,Leeds,Southampton,10.5,1.975,1.825,https://www.totalcorner.com/stats/Leeds-vs-Southampton/155783558
2024-05-25,Man City,Man Utd,10.5,1.7,2.1,https://www.totalcorner.com/stats/Man-City-vs-Man-Utd/154434217
2024-05-22,Tottenham,Newcastle,10.5,1.8,2.0,https://www.totalcorner.com/stats/Tottenham-vs-Newcastle/155954676
2024-05-19,Sheff Utd,Tottenham,11.0,1.975,1.825,https://www.totalcorner.com/stats/Sheff-Utd-vs-Tottenham/154863278
2024-05-19,Luton,Fulham,10.5,1.875,1.925,https://www.totalcorner.com/stats/Luton-vs-Fulham/154863274
2024-05-19,Burnley,Nottm Forest,10.5,1.9,1.9,https://www.totalcorner.com/stats/Burnley-vs-Nottm-Forest/154863262
2024-05-19,Brighton,Man Utd,10.5,1.85,1.95,https://www.totalcorner.com/stats/Brighton-vs-Man-Utd/154863260
2024-05-19,Arsenal,Everton,9.5,1.8,2.0,https://www.totalcorner.com/stats/Arsenal-vs-Everton/154863254
2024-05-19,Brentford,Newcastle,10.5,1.925,1.875,https://www.totalcorner.com/stats/Brentford-vs-Newcastle/154863256
2024-05-19,Man City,West Ham,10.5,1.975,1.825,https://www.totalcorner.com/stats/Man-City-vs-West-Ham/154863276
2024-05-19,Chelsea,Bournemouth,10.5,1.85,1.95,https://www.totalcorner.com/stats/Chelsea-vs-Bournemouth/154863265
2024-05-19,Liverpool,Wolverhampton,10.0,1.85,1.95,https://www.totalcorner.com/stats/Liverpool-vs-Wolverhampton/154863272
2024-05-19,Crystal Palace,Aston Villa,10.5,2.0,1.8,https://www.totalcorner.com/stats/Crystal-Palace-vs-Aston-Villa/154863268
2024-05-17,Southampton,West Brom,11.0,1.95,1.85,https://www.totalcorner.com/stats/Southampton-vs-West-Brom/155099086
2024-05-16,Leeds,Norwich,10.5,1.9,1.9,https://www.totalcorner.com/stats/Leeds-vs-Norwich/155099082
2024-05-15,Man Utd,Newcastle,11.5,1.8,2.0,https://www.totalcorner.com/stats/Man-Utd-vs-Newcastle/154501142
